학과,분반,1,2,,비고
전자공학과,"E1,E2,E3,E4","대학수학및연습1",대학수학및연습2,,
전자공학과,"E1,E2,E3,E4","대학수학및연습1",공학수학1,, 또는 대학수학및연습2
전자공학과,"E1,E2,E3,E4","대학수학및연습1",공학수학2,, 또는 대학수학및연습2
전자공학과,"E1,E2,E3,E4",전자기학1,마이크로파공학,,
전자공학과,"E1,E2,E3,E4",기초전자회로및실험1,기초전자회로및실험2,,
전자공학과,"E1,E2,E3,E4",회로이론1,전자회로1,,
전자공학과,"E1,E2,E3,E4",디지털공학,컴퓨터 구조,,
전자공학과,"E1,E2,E3,E4",기초전자회로및실험1,전자회로실험,,
전자공학과,"E1,E2,E3,E4",기초전자회로및실험1,전자공학응용실험,,
전자공학과,"E1,E2,E3,E4",기초전자회로및실험2,전자회로실험,,
전자공학과,"E1,E2,E3,E4",기초전자회로및실험2,전자공학응용실험,,
전자공학과,"E1,E2,E3,E4",공학설계입문,기초전자회로및실험1,,
전자공학과,"E1,E2,E3,E4",공학설계입문,캡스톤설계,,
전자통신공학과,"E5,E6",대학수학및연습1,대학수학및연습2,,
전자통신공학과,"E5,E6",대학물리학2 ((구)대학물리및실험2),전자기학1,,
전자통신공학과,"E5,E6",신호및시스템,디지털신호처리,,
전자통신공학과,"E5,E6",전자회로1,전자회로2,,
전자통신공학과,"E5,E6",전자회로1,집적회로설계,,
전자통신공학과,"E5,E6",공학설계입문,예비캡스톤설계,,
전자통신공학과,"E5,E6",예비캡스톤설계,캡스톤설계,,
전자융합공학과,"E5,E6",대학수학및연습1,대학수학및연습2,,
전자융합공학과,"E5,E6",대학물리학1 ((구)대학물리및실험1),반도체소자1,,before2024
전자융합공학과,"E5,E6",전자기학2,초고주파공학,,before2024
전자융합공학과,"E5,E6",전자회로1,전자회로2,,before2024
전자융합공학과,"E5,E6",공학설계입문,캡스톤설계1,,before2024
전자융합공학과,"E5,E6",공학설계입문,캡스톤설계2,,before2024
전자융합공학과,"E5,E6",대학물리학1 ((구)대학물리및실험1),반도체소자1,,2024
전자융합공학과,"E5,E6",전자기학2,초고주파공학,,2024
전자융합공학과,"E5,E6",전자회로1,전자회로2,,2024
전자융합공학과,"E5,E6",공학설계입문,캡스톤설계1 또는 캡스톤설계2,,2024
컴퓨터정보공학부,"C1,C2,C3",대학수학및연습1,대학수학및연습2,,
컴퓨터정보공학부,"C1,C2,C3",신호및시스템,고급프로그래밍및설계,,
컴퓨터정보공학부,"C1,C2,C3",C프로그래밍,객체지향프로그래밍설계,,
컴퓨터정보공학부,"C1,C2,C3",디지털논리회로,소프트웨어프로젝트1,,
컴퓨터정보공학부,"C1,C2,C3",오픈소스SW설계및실습,소프트웨어프로젝트2,,
컴퓨터정보공학부,"C1,C2,C3",공학설계입문,산학협력캡스톤설계1/2,,
소프트웨어학부,"C4,C5,C6",대학수학및연습1,대학수학및연습2,,
소프트웨어학부,"C4,C5,C6",C프로그래밍,고급C프로그래밍및설계,,
소프트웨어학부,"C4,C5,C6",고급c프로그래밍및설계,고급프로그래밍,,
소프트웨어학부,"C4,C5,C6",컴퓨터그래픽스,컴퓨터애니메이션,,
소프트웨어학부,"C4,C5,C6",네트워크보안,최신정보보안이론,,
소프트웨어학부,"C4,C5,C6",공학설계입문,응용소프트웨어실습,,
소프트웨어학부,"C4,C5,C6",선형대수학,빅데이터처리및응용,,
소프트웨어학부,"C4,C5,C6",디지털논리,컴퓨터구조,,
소프트웨어학부,"C4,C5,C6",시스템소프트웨어,운영체제,,
로봇학부,"J5,J6,J7,J8",대학수학및연습1,대학수학및연습2,,
로봇학부,"J5,J6,J7,J8",로봇학입문,로봇운동학,,
로봇학부,"J5,J6,J7,J8",로봇학실험1,로봇학실험2,,
로봇학부,"J5,J6,J7,J8",로봇운동학,캡스톤설계,,
건축공학과,A2,대학수학및연습1,대학수학및연습2,,
건축공학과,A2,공학설계입문,건축설계및도서작성1,,
건축공학과,A2,건축설계및도서작성1,건축설계및도서작성2,,
건축공학과,A2,건축환경1,건축환경2,,
건축공학과,A2,구조역학1,구조역학2,,
건축공학과,A2,구조역학1,철근콘크리트구조1,,
건축공학과,A2,철근콘크리트구조1,철근콘크리트구조2,,
건축공학과,A2,건축공학캡스톤설계,건축종합논문,,
건축공학과,A2,건축설계및도서작성2,건축공학캡스톤설계,,
건축공학과,A2,대학물리및실험1,구조역학1,,
건축공학과,A2,프로그래밍기초,건축IT,,
화학공학과,"K1,K2",대학수학및연습1,대학수학및연습2,,
화학공학과,"K1,K2",대학화학및실험1,유기화학1,,
화학공학과,"K1,K2",공학수학1,공학수학2,,
화학공학과,"K1,K2",공학수학1,수치해석,,
화학공학과,"K1,K2",공학수학1,유체역학,,
화학공학과,"K1,K2",유기화학1,유기화학2,,
화학공학과,"K1,K2",유기화학1,고분자화학,,
화학공학과,"K1,K2",물리화학,화공열역학1,,
화학공학과,"K1,K2",화공열역학1,화공열역학2,,
화학공학과,"K1,K2",반응공학,촉매반응공학,,
화학공학과,"K1,K2",공학설계입문,화공기초이론및실험1,,
화학공학과,"K1,K2",공학설계입문,캡스톤설계기초,,
화학공학과,"K1,K2",캡스톤설계기초,캡스톤설계심화,,
화학공학과,"K1,K2",반응공학1,촉매반응공학,,
화학공학과,"K1,K2",캡스톤설계1,캡스톤설계심화,,
환경공학과,K3,대학수학및연습1,대학수학및연습2,,
환경공학과,K3,대학화학및실험1,대학화학및실험2,,
환경공학과,K3,대학생물및실험,환경미생물학,,
환경공학과,K3,대학화학및실험2,환경화학,,
환경공학과,K3,환경화학,환경유기화학,,
환경공학과,K3,공학설계입문,폐기물처리시설설계,,
환경공학과,K3,"공학설계입문(7070-2-0444-01,7070-2-0444-02)",대기오염방지시설설계,,
환경공학과,K3,공학설계입문,환경복원공정설계,,
환경공학과,K3,공학설계입문,수처리시설설계,,
환경공학과,K3,폐기물처리시설설계,캡스톤설계,,
환경공학과,K3,대기오염방지시설설계,캡스톤설계,,
환경공학과,K3,환경복원공정설계,캡스톤설계,,
환경공학과,K3,수처리시설설계,캡스톤설계,,
